depth=1, S_A=8.620877368001291e-14, chi=-1
depth=2, S_A=0.0452000340026869, chi=-1
depth=3, S_A=0.0956887494296275, chi=-1
depth=4, S_A=0.041414810038723444, chi=-1
depth=5, S_A=0.03321701253330929, chi=-1
depth=6, S_A=0.02623258884764834, chi=-1
depth=7, S_A=0.12267748324970543, chi=-1
depth=8, S_A=0.12854122285946157, chi=-1
depth=9, S_A=0.09621329966369843, chi=-1
depth=10, S_A=0.08944595974522587, chi=-1
depth=11, S_A=0.13269168895768788, chi=-1
depth=12, S_A=0.22023508943763617, chi=-1
depth=13, S_A=0.18369769066051125, chi=-1
depth=14, S_A=0.1864948148983547, chi=-1
depth=15, S_A=0.17336155893390873, chi=-1
