depth=1, S_A=-1.9220559022889516e-15, chi=-1
depth=2, S_A=0.5890359221578891, chi=-1
depth=3, S_A=0.9314108471068887, chi=-1
depth=4, S_A=1.1960300958144532, chi=-1
depth=5, S_A=1.417574763450477, chi=-1
depth=6, S_A=1.6845207788908756, chi=-1
depth=7, S_A=1.8368191236754077, chi=-1
depth=8, S_A=1.9565796344625954, chi=-1
depth=9, S_A=2.2036878607974675, chi=-1
depth=10, S_A=2.4168644434753794, chi=-1
depth=11, S_A=2.61127171200041, chi=-1
depth=12, S_A=2.883578765257986, chi=-1
depth=13, S_A=3.054555310384881, chi=-1
depth=14, S_A=3.185119914253892, chi=-1
depth=15, S_A=3.2932194411223237, chi=-1
