depth=1, S_A=3.523769154196405e-15, chi=-1
depth=2, S_A=0.46403793991427217, chi=-1
depth=3, S_A=0.8161767298389503, chi=-1
depth=4, S_A=1.1806580392537842, chi=-1
depth=5, S_A=1.5680026760952475, chi=-1
depth=6, S_A=1.5069132195360526, chi=-1
depth=7, S_A=1.4112015048239233, chi=-1
depth=8, S_A=1.1648794306153458, chi=-1
depth=9, S_A=1.3481069630135725, chi=-1
depth=10, S_A=1.3942605715783678, chi=-1
depth=11, S_A=1.3185542684322018, chi=-1
depth=12, S_A=1.461213864323316, chi=-1
depth=13, S_A=1.161546524703406, chi=-1
depth=14, S_A=1.2447177327748193, chi=-1
depth=15, S_A=1.1143479503909044, chi=-1
