depth=1, S_A=3.523769154196405e-15, chi=-1
depth=2, S_A=1.0000000000000027, chi=-1
depth=3, S_A=1.999999999999996, chi=-1
depth=4, S_A=2.999999999999985, chi=-1
depth=5, S_A=3.999999999999971, chi=-1
depth=6, S_A=4.999999999999953, chi=-1
depth=7, S_A=5.9999999999999325, chi=-1
depth=8, S_A=5.543243438479345, chi=-1
depth=9, S_A=5.4088259068680165, chi=-1
depth=10, S_A=5.3179638668660925, chi=-1
depth=11, S_A=5.286714599460459, chi=-1
depth=12, S_A=5.2534671668673045, chi=-1
depth=13, S_A=5.261820856355332, chi=-1
depth=14, S_A=5.240408479225046, chi=-1
depth=15, S_A=5.246482474786675, chi=-1
