depth=1, S_A=3.844111804577896e-15, chi=-1
depth=2, S_A=0.06839090291738775, chi=-1
depth=3, S_A=0.23307537669428793, chi=-1
depth=4, S_A=0.28476867132680306, chi=-1
depth=5, S_A=0.3102258676343703, chi=-1
depth=6, S_A=0.2910028706747648, chi=-1
depth=7, S_A=0.22309236368832341, chi=-1
depth=8, S_A=0.24092112519372755, chi=-1
depth=9, S_A=0.24877726492576985, chi=-1
depth=10, S_A=0.2783253255643451, chi=-1
depth=11, S_A=0.3169054937130611, chi=-1
depth=12, S_A=0.2973787868723101, chi=-1
depth=13, S_A=0.30015032924355256, chi=-1
depth=14, S_A=0.25414028279265843, chi=-1
depth=15, S_A=0.24928466277383, chi=-1
depth=16, S_A=0.31449945192542245, chi=-1
depth=17, S_A=0.3206766171219658, chi=-1
depth=18, S_A=0.3408200700301346, chi=-1
depth=19, S_A=0.3180947546074809, chi=-1
depth=20, S_A=0.286670454860967, chi=-1
depth=21, S_A=0.2877575024833957, chi=-1
depth=22, S_A=0.2635982617880457, chi=-1
depth=23, S_A=0.3142182107737402, chi=-1
depth=24, S_A=0.39144642216392517, chi=-1
depth=25, S_A=0.3901008198898088, chi=-1
depth=26, S_A=0.380937355836426, chi=-1
depth=27, S_A=0.30190515522581096, chi=-1
depth=28, S_A=0.27797135923185623, chi=-1
depth=29, S_A=0.28008275227142937, chi=-1
depth=30, S_A=0.28695214469455416, chi=-1
