depth=1, S_A=4.965311080913114e-15, chi=-1
depth=2, S_A=0.13796442817866733, chi=-1
depth=3, S_A=0.42760441098183893, chi=-1
depth=4, S_A=0.47948911906398667, chi=-1
depth=5, S_A=0.6610731826891572, chi=-1
depth=6, S_A=0.869383640984248, chi=-1
depth=7, S_A=1.071990331961659, chi=-1
depth=8, S_A=1.2637363600397424, chi=-1
depth=9, S_A=1.4131527792323144, chi=-1
depth=10, S_A=1.604984658828241, chi=-1
depth=11, S_A=1.7885648779437844, chi=-1
depth=12, S_A=1.9974238741295638, chi=-1
depth=13, S_A=2.17765555709804, chi=-1
depth=14, S_A=2.3498338168839155, chi=-1
depth=15, S_A=2.5275435269807316, chi=-1
