depth=1, S_A=-3.844111804577906e-15, chi=-1
depth=2, S_A=0.5288643610650132, chi=-1
depth=3, S_A=1.0088220612104437, chi=-1
depth=4, S_A=1.6024624479340377, chi=-1
depth=5, S_A=1.598309298625448, chi=-1
depth=6, S_A=1.3432402473132932, chi=-1
depth=7, S_A=0.9252499442135167, chi=-1
depth=8, S_A=0.9163093491996246, chi=-1
depth=9, S_A=1.3709543726200977, chi=-1
depth=10, S_A=1.7454030733200807, chi=-1
depth=11, S_A=1.6700566797466032, chi=-1
depth=12, S_A=1.281629384462086, chi=-1
depth=13, S_A=0.7591032270053863, chi=-1
depth=14, S_A=0.4083318923987196, chi=-1
depth=15, S_A=0.4147043920987773, chi=-1
