depth=1, S_A=2.883083853433423e-15, chi=-1
depth=2, S_A=0.1379644281786635, chi=-1
depth=3, S_A=0.3763053562376735, chi=-1
depth=4, S_A=0.35904956710524466, chi=-1
depth=5, S_A=0.4387756352057837, chi=-1
depth=6, S_A=0.5745167649584961, chi=-1
depth=7, S_A=0.6363120702990943, chi=-1
depth=8, S_A=0.7163840536703797, chi=-1
depth=9, S_A=0.818492574128317, chi=-1
depth=10, S_A=0.9101308038753548, chi=-1
depth=11, S_A=1.0031651762386058, chi=-1
depth=12, S_A=1.0662323833615805, chi=-1
depth=13, S_A=1.0876865275458634, chi=-1
depth=14, S_A=1.1588129457742082, chi=-1
depth=15, S_A=1.1909071964930964, chi=-1
