depth=1, S_A=3.683940479387151e-15, chi=-1
depth=2, S_A=0.13796442817866575, chi=-1
depth=3, S_A=0.37630535623767536, chi=-1
depth=4, S_A=0.3590495671052456, chi=-1
depth=5, S_A=0.4367323377948551, chi=-1
depth=6, S_A=0.5668979504785868, chi=-1
depth=7, S_A=0.6269853696846848, chi=-1
depth=8, S_A=0.709873377949454, chi=-1
depth=9, S_A=0.8163711033097278, chi=-1
depth=10, S_A=0.9272959128123526, chi=-1
depth=11, S_A=0.999010823081406, chi=-1
depth=12, S_A=1.11877722079471, chi=-1
depth=13, S_A=1.2506785839668941, chi=-1
depth=14, S_A=1.2992913433285462, chi=-1
depth=15, S_A=1.3716763328354005, chi=-1
