depth=1, S_A=-5.125482406103878e-15, chi=-1
depth=2, S_A=0.04520003400268987, chi=-1
depth=3, S_A=0.0956887494296333, chi=-1
depth=4, S_A=0.041414810038733076, chi=-1
depth=5, S_A=0.033217012533319816, chi=-1
depth=6, S_A=0.026232588847658323, chi=-1
depth=7, S_A=0.12267676540221488, chi=-1
depth=8, S_A=0.12853624881936263, chi=-1
depth=9, S_A=0.0962155183373069, chi=-1
depth=10, S_A=0.08943169123906754, chi=-1
depth=11, S_A=0.13273764732861515, chi=-1
depth=12, S_A=0.22026789048795276, chi=-1
depth=13, S_A=0.18371016898458564, chi=-1
depth=14, S_A=0.18651237933207526, chi=-1
depth=15, S_A=0.17343577548614936, chi=-1
