depth=1, S_A=4.8051397557223685e-15, chi=-1
depth=2, S_A=0.010126097538099942, chi=-1
depth=3, S_A=0.07856389766009109, chi=-1
depth=4, S_A=0.17240675604222747, chi=-1
depth=5, S_A=0.22087484119488096, chi=-1
depth=6, S_A=0.2354073173532225, chi=-1
depth=7, S_A=0.24745223287752705, chi=-1
depth=8, S_A=0.24525907999478477, chi=-1
depth=9, S_A=0.20954008439437902, chi=-1
depth=10, S_A=0.17262004344500118, chi=-1
depth=11, S_A=0.1726353429276193, chi=-1
depth=12, S_A=0.18262024727786957, chi=-1
depth=13, S_A=0.1853356555011068, chi=-1
depth=14, S_A=0.1955671731371113, chi=-1
depth=15, S_A=0.2348609859182937, chi=-1
depth=16, S_A=0.26475280384193145, chi=-1
depth=17, S_A=0.260382540822257, chi=-1
depth=18, S_A=0.25373238035404205, chi=-1
depth=19, S_A=0.2562111342214733, chi=-1
depth=20, S_A=0.23176728394756024, chi=-1
depth=21, S_A=0.18649256381092133, chi=-1
depth=22, S_A=0.19644315444791485, chi=-1
depth=23, S_A=0.2215617538882391, chi=-1
depth=24, S_A=0.22509484469556526, chi=-1
depth=25, S_A=0.23617855529104592, chi=-1
depth=26, S_A=0.2500231715333236, chi=-1
depth=27, S_A=0.24907261131210257, chi=-1
depth=28, S_A=0.23623151774004494, chi=-1
depth=29, S_A=0.2254236152280948, chi=-1
depth=30, S_A=0.22135017256011041, chi=-1
depth=31, S_A=0.22106107202036443, chi=-1
depth=32, S_A=0.20748489117337554, chi=-1
depth=33, S_A=0.2052028872429821, chi=-1
depth=34, S_A=0.23405784467218727, chi=-1
depth=35, S_A=0.2411585431945648, chi=-1
depth=36, S_A=0.23421976065807323, chi=-1
depth=37, S_A=0.25553401087509164, chi=-1
depth=38, S_A=0.26856863639304035, chi=-1
depth=39, S_A=0.23515548493757626, chi=-1
depth=40, S_A=0.19676296852327924, chi=-1
depth=41, S_A=0.19213754361659324, chi=-1
depth=42, S_A=0.19431638253979922, chi=-1
depth=43, S_A=0.19559043379119248, chi=-1
depth=44, S_A=0.213453002829807, chi=-1
depth=45, S_A=0.2501696910004157, chi=-1
depth=46, S_A=0.2683836469832335, chi=-1
depth=47, S_A=0.25880062185179636, chi=-1
depth=48, S_A=0.24435189808832047, chi=-1
depth=49, S_A=0.2437630510131349, chi=-1
depth=50, S_A=0.23539236854704182, chi=-1
