depth=1, S_A=5.605996381676095e-15, chi=-1
depth=2, S_A=0.4640379399142739, chi=-1
depth=3, S_A=0.8161767298389526, chi=-1
depth=4, S_A=1.1806580392537849, chi=-1
depth=5, S_A=1.4498307586890804, chi=-1
depth=6, S_A=1.7555660396321482, chi=-1
depth=7, S_A=1.7852588758274501, chi=-1
depth=8, S_A=1.7436415782034373, chi=-1
depth=9, S_A=1.7432566270710073, chi=-1
depth=10, S_A=1.8550469494191866, chi=-1
depth=11, S_A=1.8731747741132079, chi=-1
depth=12, S_A=1.7926316660314865, chi=-1
depth=13, S_A=1.709518310807184, chi=-1
depth=14, S_A=1.5890152583520436, chi=-1
depth=15, S_A=1.5714427583839095, chi=-1
