depth=1, S_A=-8.008566259537315e-15, chi=-1
depth=2, S_A=0.5288643610650119, chi=-1
depth=3, S_A=1.008822061210443, chi=-1
depth=4, S_A=1.602462447934039, chi=-1
depth=5, S_A=2.1380571246813114, chi=-1
depth=6, S_A=2.6689519474840044, chi=-1
depth=7, S_A=3.2359924185612323, chi=-1
depth=8, S_A=3.6172317844888835, chi=-1
depth=9, S_A=3.5696845095930576, chi=-1
depth=10, S_A=3.2647857728005834, chi=-1
depth=11, S_A=2.7894344988367945, chi=-1
depth=12, S_A=2.3063830602284394, chi=-1
depth=13, S_A=1.8363148307302963, chi=-1
depth=14, S_A=1.391463956628292, chi=-1
depth=15, S_A=1.3505736214014834, chi=-1
