depth=1, S_A=9.930622161826211e-15, chi=-1
depth=2, S_A=0.02984075135797487, chi=-1
depth=3, S_A=0.07927602358575452, chi=-1
depth=4, S_A=0.07936684462718994, chi=-1
depth=5, S_A=0.059601665161117756, chi=-1
depth=6, S_A=0.03908425454206428, chi=-1
depth=7, S_A=0.05106184531987721, chi=-1
depth=8, S_A=0.05955125539152449, chi=-1
depth=9, S_A=0.05708322032746398, chi=-1
depth=10, S_A=0.03828528561500852, chi=-1
depth=11, S_A=0.038863754550286435, chi=-1
depth=12, S_A=0.030529630849064345, chi=-1
depth=13, S_A=0.08521673926688066, chi=-1
depth=14, S_A=0.08622140779278381, chi=-1
depth=15, S_A=0.07221911371683944, chi=-1
depth=16, S_A=0.033567887587061314, chi=-1
depth=17, S_A=0.03629333161340794, chi=-1
depth=18, S_A=0.046765077591688645, chi=-1
depth=19, S_A=0.08245986110637808, chi=-1
depth=20, S_A=0.08232130724357363, chi=-1
depth=21, S_A=0.08350524777868021, chi=-1
depth=22, S_A=0.04421209931035186, chi=-1
depth=23, S_A=0.07333634465399284, chi=-1
depth=24, S_A=0.0728770525173086, chi=-1
depth=25, S_A=0.0728576257937879, chi=-1
depth=26, S_A=0.049088158384946325, chi=-1
depth=27, S_A=0.05025230671003575, chi=-1
depth=28, S_A=0.044146542778539376, chi=-1
depth=29, S_A=0.08644828538284895, chi=-1
depth=30, S_A=0.09898053918036855, chi=-1
