depth=1, S_A=7.688223609155783e-15, chi=-1
depth=2, S_A=1.000000000000003, chi=-1
depth=3, S_A=1.9999999999999944, chi=-1
depth=4, S_A=2.99999999999998, chi=-1
depth=5, S_A=3.9999999999999605, chi=-1
depth=6, S_A=4.999999999999935, chi=-1
depth=7, S_A=5.999999999999906, chi=-1
depth=8, S_A=6.99999999999987, chi=-1
depth=9, S_A=7.9999999999998295, chi=-1
depth=10, S_A=7.557783487514412, chi=-1
depth=11, S_A=7.395654630775072, chi=-1
depth=12, S_A=7.3355265158299225, chi=-1
depth=13, S_A=7.3029020096100625, chi=-1
depth=14, S_A=7.282751666716756, chi=-1
depth=15, S_A=7.2725852985917046, chi=-1
