depth=1, S_A=7.729816387375252e-14, chi=-1
depth=2, S_A=0.46403793991428155, chi=-1
depth=3, S_A=0.8161767298389585, chi=-1
depth=4, S_A=1.180658039253787, chi=-1
depth=5, S_A=1.4498307586890822, chi=-1
depth=6, S_A=1.6740610183519549, chi=-1
depth=7, S_A=1.8486008566776335, chi=-1
depth=8, S_A=2.0195072587551737, chi=-1
depth=9, S_A=2.1834048566856388, chi=-1
depth=10, S_A=2.3269882352397953, chi=-1
depth=11, S_A=2.492868998786089, chi=-1
depth=12, S_A=2.591969869494423, chi=-1
depth=13, S_A=2.7297297332250627, chi=-1
depth=14, S_A=2.8408932866913035, chi=-1
depth=15, S_A=2.877486390474416, chi=-1
