depth=1, S_A=2.7229125282426773e-15, chi=-1
depth=2, S_A=0.1379644281786646, chi=-1
depth=3, S_A=0.42760441098183705, chi=-1
depth=4, S_A=0.4794891190639823, chi=-1
depth=5, S_A=0.6610731826891546, chi=-1
depth=6, S_A=0.8694312509729062, chi=-1
depth=7, S_A=1.0720284846947574, chi=-1
depth=8, S_A=1.2612891264073023, chi=-1
depth=9, S_A=1.4105557603395442, chi=-1
depth=10, S_A=1.6150568326184247, chi=-1
depth=11, S_A=1.7758380792397597, chi=-1
depth=12, S_A=1.949977178305202, chi=-1
depth=13, S_A=2.1849220441741526, chi=-1
depth=14, S_A=2.310663465181244, chi=-1
depth=15, S_A=2.324941957533218, chi=-1
