depth=1, S_A=1.8143634552515652e-13, chi=-1
depth=2, S_A=0.1379644281786688, chi=-1
depth=3, S_A=0.42760441098184077, chi=-1
depth=4, S_A=0.47948911906398767, chi=-1
depth=5, S_A=0.6610731826891597, chi=-1
depth=6, S_A=0.8693836409842514, chi=-1
depth=7, S_A=1.0719903319616582, chi=-1
depth=8, S_A=1.2637353799029178, chi=-1
depth=9, S_A=1.4131427193470811, chi=-1
depth=10, S_A=1.6050328132636533, chi=-1
depth=11, S_A=1.7889052247480115, chi=-1
depth=12, S_A=1.9969763680879011, chi=-1
depth=13, S_A=2.1755980423989234, chi=-1
depth=14, S_A=2.35522495404641, chi=-1
depth=15, S_A=2.534150831537181, chi=-1
