depth=1, S_A=-1.0571307462589266e-14, chi=-1
depth=2, S_A=0.528864361065011, chi=-1
depth=3, S_A=1.008822061210442, chi=-1
depth=4, S_A=1.602462447934039, chi=-1
depth=5, S_A=2.1380571246813136, chi=-1
depth=6, S_A=2.6689519474840067, chi=-1
depth=7, S_A=3.235992418561238, chi=-1
depth=8, S_A=3.777339663569741, chi=-1
depth=9, S_A=4.317202915586119, chi=-1
depth=10, S_A=4.812508691555512, chi=-1
depth=11, S_A=4.960151643712128, chi=-1
depth=12, S_A=4.7657216731099785, chi=-1
depth=13, S_A=4.356808007066717, chi=-1
depth=14, S_A=3.9450266595171497, chi=-1
depth=15, S_A=3.4349743066529035, chi=-1
