depth=1, S_A=8.969594210681742e-15, chi=-1
depth=2, S_A=0.010126097538107198, chi=-1
depth=3, S_A=0.07856389766009875, chi=-1
depth=4, S_A=0.17240675604224004, chi=-1
depth=5, S_A=0.2208748411948981, chi=-1
depth=6, S_A=0.23539760147857886, chi=-1
depth=7, S_A=0.24738537555317994, chi=-1
depth=8, S_A=0.24460459613702248, chi=-1
depth=9, S_A=0.20570372185286356, chi=-1
depth=10, S_A=0.16509208900278605, chi=-1
depth=11, S_A=0.168453902386694, chi=-1
depth=12, S_A=0.1811340444154962, chi=-1
depth=13, S_A=0.18343956393628796, chi=-1
depth=14, S_A=0.19301621244205336, chi=-1
depth=15, S_A=0.21899851072918314, chi=-1
depth=16, S_A=0.23196789965006231, chi=-1
depth=17, S_A=0.22290468071874422, chi=-1
depth=18, S_A=0.21758858458770397, chi=-1
depth=19, S_A=0.2182967469169766, chi=-1
depth=20, S_A=0.19467599428112925, chi=-1
depth=21, S_A=0.1530960768329591, chi=-1
depth=22, S_A=0.1727528600367345, chi=-1
depth=23, S_A=0.21718467885311943, chi=-1
depth=24, S_A=0.2285042138492343, chi=-1
depth=25, S_A=0.23135051879149116, chi=-1
depth=26, S_A=0.2475273966548692, chi=-1
depth=27, S_A=0.2514749625368406, chi=-1
depth=28, S_A=0.22241680091088523, chi=-1
depth=29, S_A=0.1998173495893601, chi=-1
depth=30, S_A=0.20169529318776774, chi=-1
depth=31, S_A=0.20337035247206878, chi=-1
depth=32, S_A=0.1968308993465927, chi=-1
depth=33, S_A=0.21075678742394385, chi=-1
depth=34, S_A=0.2687154489771346, chi=-1
depth=35, S_A=0.311660928442076, chi=-1
depth=36, S_A=0.3185687890606991, chi=-1
depth=37, S_A=0.3209126500578503, chi=-1
depth=38, S_A=0.30971155756187085, chi=-1
depth=39, S_A=0.2548847599400281, chi=-1
depth=40, S_A=0.2005523484904155, chi=-1
depth=41, S_A=0.198807449054553, chi=-1
depth=42, S_A=0.20594470927257685, chi=-1
depth=43, S_A=0.20576883603002372, chi=-1
depth=44, S_A=0.21650604657620234, chi=-1
depth=45, S_A=0.25952227054134075, chi=-1
depth=46, S_A=0.3042133239359155, chi=-1
depth=47, S_A=0.3172607254787389, chi=-1
depth=48, S_A=0.31871641009955115, chi=-1
depth=49, S_A=0.32732691395496144, chi=-1
depth=50, S_A=0.3074051117377764, chi=-1
