depth=1, S_A=-6.727195658011343e-15, chi=-1
depth=2, S_A=0.7348362242408086, chi=-1
depth=3, S_A=1.2270190618497245, chi=-1
depth=4, S_A=1.6008458934734422, chi=-1
depth=5, S_A=1.9218437470296057, chi=-1
depth=6, S_A=2.198619447914575, chi=-1
depth=7, S_A=2.422454896427089, chi=-1
depth=8, S_A=2.568045955163461, chi=-1
depth=9, S_A=2.6466398568568033, chi=-1
depth=10, S_A=2.8039551338315993, chi=-1
depth=11, S_A=2.9523603067599744, chi=-1
depth=12, S_A=3.1020973051983747, chi=-1
depth=13, S_A=3.1648023965956287, chi=-1
depth=14, S_A=3.2396320251315007, chi=-1
depth=15, S_A=3.25299404020877, chi=-1
depth=16, S_A=3.2944261024722348, chi=-1
depth=17, S_A=3.3000611036041194, chi=-1
depth=18, S_A=3.381915110312626, chi=-1
depth=19, S_A=3.531000933368275, chi=-1
depth=20, S_A=3.5011952870416625, chi=-1
depth=21, S_A=3.6495345585258736, chi=-1
depth=22, S_A=3.7207584352125047, chi=-1
depth=23, S_A=3.689374878857989, chi=-1
depth=24, S_A=3.7951819514012257, chi=-1
depth=25, S_A=3.8093131687795543, chi=-1
depth=26, S_A=3.827242628727907, chi=-1
depth=27, S_A=3.806511830371948, chi=-1
depth=28, S_A=3.849430019640012, chi=-1
depth=29, S_A=3.8696824129226504, chi=-1
depth=30, S_A=3.924634356860258, chi=-1
