depth=1, S_A=7.590864449032257e-14, chi=-1
depth=2, S_A=0.5890359221578882, chi=-1
depth=3, S_A=0.931410847106888, chi=-1
depth=4, S_A=1.196030095814452, chi=-1
depth=5, S_A=1.4175747634504763, chi=-1
depth=6, S_A=1.6845207788908751, chi=-1
depth=7, S_A=1.8368191236754114, chi=-1
depth=8, S_A=1.9837398800151704, chi=-1
depth=9, S_A=2.2175892624652267, chi=-1
depth=10, S_A=2.4702246007321027, chi=-1
depth=11, S_A=2.754010715895889, chi=-1
depth=12, S_A=3.0428802722586243, chi=-1
depth=13, S_A=3.289842783372003, chi=-1
depth=14, S_A=3.5199015817575328, chi=-1
depth=15, S_A=3.7401092172221166, chi=-1
