depth=1, S_A=8.328908909918763e-15, chi=-1
depth=2, S_A=0.029840751357973705, chi=-1
depth=3, S_A=0.22668382985876953, chi=-1
depth=4, S_A=0.5128169455442961, chi=-1
depth=5, S_A=0.7358087950931876, chi=-1
depth=6, S_A=0.9510110549062496, chi=-1
depth=7, S_A=1.2047195353355589, chi=-1
depth=8, S_A=1.4407634246967012, chi=-1
depth=9, S_A=1.6643655290844097, chi=-1
depth=10, S_A=1.9126695919421117, chi=-1
depth=11, S_A=2.169187079499466, chi=-1
depth=12, S_A=2.4383212020075, chi=-1
depth=13, S_A=2.7247796614990474, chi=-1
depth=14, S_A=2.928516094631637, chi=-1
depth=15, S_A=2.9374230408966304, chi=-1
depth=16, S_A=2.7788867988997126, chi=-1
depth=17, S_A=2.578261632174402, chi=-1
depth=18, S_A=2.4100983249867483, chi=-1
depth=19, S_A=2.2512616308753506, chi=-1
depth=20, S_A=2.060543459730763, chi=-1
depth=21, S_A=1.8638502834206832, chi=-1
depth=22, S_A=1.7266579991457174, chi=-1
depth=23, S_A=1.6529162530482193, chi=-1
depth=24, S_A=1.6090974386026544, chi=-1
depth=25, S_A=1.5756944244385487, chi=-1
depth=26, S_A=1.5858320792603018, chi=-1
depth=27, S_A=1.6888506724276586, chi=-1
depth=28, S_A=1.8839187737605547, chi=-1
depth=29, S_A=2.0894941399335156, chi=-1
depth=30, S_A=2.216775029687701, chi=-1
