depth=1, S_A=-6.406853007629837e-16, chi=-1
depth=2, S_A=0.5890359221578906, chi=-1
depth=3, S_A=0.9314108471068907, chi=-1
depth=4, S_A=1.196030095814455, chi=-1
depth=5, S_A=1.2698265579736774, chi=-1
depth=6, S_A=1.237777965096522, chi=-1
depth=7, S_A=1.3878558316986154, chi=-1
depth=8, S_A=1.489302619670452, chi=-1
depth=9, S_A=1.5628037702302624, chi=-1
depth=10, S_A=1.6568720945040498, chi=-1
depth=11, S_A=1.6607692099620515, chi=-1
depth=12, S_A=1.7240378506332763, chi=-1
depth=13, S_A=1.7614078244067393, chi=-1
depth=14, S_A=1.93128722208135, chi=-1
depth=15, S_A=2.01542816376344, chi=-1
