depth=1, S_A=4.8051397557223685e-15, chi=-1
depth=2, S_A=0.13796442817866697, chi=-1
depth=3, S_A=0.37630535623767836, chi=-1
depth=4, S_A=0.3590495671052483, chi=-1
depth=5, S_A=0.4367323377948634, chi=-1
depth=6, S_A=0.5664547930106674, chi=-1
depth=7, S_A=0.6250973060695961, chi=-1
depth=8, S_A=0.7075803913269005, chi=-1
depth=9, S_A=0.8129880778238803, chi=-1
depth=10, S_A=0.9164385147556926, chi=-1
depth=11, S_A=0.9916410516841627, chi=-1
depth=12, S_A=1.107576896488828, chi=-1
depth=13, S_A=1.2199420960677567, chi=-1
depth=14, S_A=1.2928414775474442, chi=-1
depth=15, S_A=1.3760902733377656, chi=-1
