depth=1, S_A=4.965311080913114e-15, chi=-1
depth=2, S_A=1.0000000000000022, chi=-1
depth=3, S_A=1.9999999999999953, chi=-1
depth=4, S_A=2.999999999999983, chi=-1
depth=5, S_A=3.999999999999966, chi=-1
depth=6, S_A=4.999999999999943, chi=-1
depth=7, S_A=3.9999999999999525, chi=-1
depth=8, S_A=2.999999999999967, chi=-1
depth=9, S_A=1.9999999999999867, chi=-1
depth=10, S_A=1.0000000000000115, chi=-1
depth=11, S_A=1.0000000000000124, chi=-1
depth=12, S_A=1.9999999999999822, chi=-1
depth=13, S_A=2.999999999999947, chi=-1
depth=14, S_A=3.999999999999906, chi=-1
depth=15, S_A=4.9999999999998614, chi=-1
depth=16, S_A=3.999999999999894, chi=-1
depth=17, S_A=2.999999999999931, chi=-1
depth=18, S_A=1.9999999999999742, chi=-1
depth=19, S_A=1.0000000000000218, chi=-1
depth=20, S_A=7.480000886407639e-14, chi=-1
depth=21, S_A=7.512035151445787e-14, chi=-1
depth=22, S_A=1.0000000000000244, chi=-1
depth=23, S_A=1.9999999999999676, chi=-1
depth=24, S_A=2.9999999999999067, chi=-1
depth=25, S_A=3.999999999999839, chi=-1
depth=26, S_A=4.999999999999767, chi=-1
depth=27, S_A=3.999999999999827, chi=-1
depth=28, S_A=2.99999999999989, chi=-1
depth=29, S_A=1.9999999999999591, chi=-1
depth=30, S_A=1.0000000000000333, chi=-1
