depth=1, S_A=9.289936861063231e-15, chi=-1
depth=2, S_A=0.46403793991427805, chi=-1
depth=3, S_A=0.9380287255286606, chi=-1
depth=4, S_A=1.4989651465086498, chi=-1
depth=5, S_A=1.9845277279541746, chi=-1
depth=6, S_A=2.5070078657744137, chi=-1
depth=7, S_A=3.0338159613063422, chi=-1
depth=8, S_A=3.567973260836757, chi=-1
depth=9, S_A=4.108568268410525, chi=-1
depth=10, S_A=3.9555277039939387, chi=-1
depth=11, S_A=3.5371822846254797, chi=-1
depth=12, S_A=3.1481538272384033, chi=-1
depth=13, S_A=2.6604393428661557, chi=-1
depth=14, S_A=2.1967460788053472, chi=-1
depth=15, S_A=1.8159061384653559, chi=-1
depth=16, S_A=1.6894495714352593, chi=-1
depth=17, S_A=1.7240227955987617, chi=-1
depth=18, S_A=2.13283626937506, chi=-1
depth=19, S_A=2.367746830073464, chi=-1
depth=20, S_A=2.8491549753308307, chi=-1
depth=21, S_A=3.17853810841562, chi=-1
depth=22, S_A=3.589900071116733, chi=-1
depth=23, S_A=3.614390111223948, chi=-1
depth=24, S_A=3.6235089234688527, chi=-1
depth=25, S_A=3.2237320249599373, chi=-1
depth=26, S_A=2.9866017661652875, chi=-1
depth=27, S_A=2.4478203024654457, chi=-1
depth=28, S_A=2.1253112993003604, chi=-1
depth=29, S_A=1.627669078954213, chi=-1
depth=30, S_A=1.3490841405391687, chi=-1
depth=31, S_A=1.312391003044132, chi=-1
depth=32, S_A=1.2030672703336243, chi=-1
depth=33, S_A=1.5980504370970854, chi=-1
depth=34, S_A=1.8353044328285335, chi=-1
depth=35, S_A=2.0664373765658275, chi=-1
depth=36, S_A=2.5286306715608373, chi=-1
depth=37, S_A=2.78661052485048, chi=-1
depth=38, S_A=3.3062505362019055, chi=-1
depth=39, S_A=3.476520453344711, chi=-1
depth=40, S_A=3.561815870038422, chi=-1
depth=41, S_A=3.222667080517436, chi=-1
depth=42, S_A=3.090580090119364, chi=-1
depth=43, S_A=2.6816303538445947, chi=-1
depth=44, S_A=2.4676456946050314, chi=-1
depth=45, S_A=2.208445226587457, chi=-1
depth=46, S_A=2.2969996472810466, chi=-1
depth=47, S_A=2.235841238847218, chi=-1
depth=48, S_A=2.6106404158921395, chi=-1
depth=49, S_A=2.8955356744882974, chi=-1
depth=50, S_A=3.0448905100449597, chi=-1
