depth=1, S_A=-1.2813706015259676e-15, chi=-1
depth=2, S_A=0.58903592215789, chi=-1
depth=3, S_A=0.9314108471068895, chi=-1
depth=4, S_A=1.1960300958144532, chi=-1
depth=5, S_A=1.4175747634504765, chi=-1
depth=6, S_A=1.561453965718231, chi=-1
depth=7, S_A=1.6561696775950014, chi=-1
depth=8, S_A=1.7919644197154525, chi=-1
depth=9, S_A=1.8715209760358054, chi=-1
depth=10, S_A=1.9759100935516587, chi=-1
depth=11, S_A=2.0696855424888048, chi=-1
depth=12, S_A=2.0713176291186666, chi=-1
depth=13, S_A=2.0352294461532177, chi=-1
depth=14, S_A=1.9863715640759523, chi=-1
depth=15, S_A=2.0392729464254935, chi=-1
