depth=1, S_A=3.844111804577896e-15, chi=-1
depth=2, S_A=0.13796442817866558, chi=-1
depth=3, S_A=0.4276044109818383, chi=-1
depth=4, S_A=0.4794891190639839, chi=-1
depth=5, S_A=0.6610731826891535, chi=-1
depth=6, S_A=0.8693836409842461, chi=-1
depth=7, S_A=1.0719982578993374, chi=-1
depth=8, S_A=1.263777128222361, chi=-1
depth=9, S_A=1.4127452221325165, chi=-1
depth=10, S_A=1.6037879951686624, chi=-1
depth=11, S_A=1.79143737298163, chi=-1
depth=12, S_A=1.9989489353531866, chi=-1
depth=13, S_A=2.156772106608095, chi=-1
depth=14, S_A=2.350551480449239, chi=-1
depth=15, S_A=2.5530705105372804, chi=-1
