depth=1, S_A=8.328908909918763e-15, chi=-1
depth=2, S_A=0.46403793991427744, chi=-1
depth=3, S_A=0.7546710418093207, chi=-1
depth=4, S_A=1.007137159053171, chi=-1
depth=5, S_A=1.1425010167324006, chi=-1
depth=6, S_A=1.2092047564603352, chi=-1
depth=7, S_A=1.3137415833146315, chi=-1
depth=8, S_A=1.372506066978393, chi=-1
depth=9, S_A=1.54754228593904, chi=-1
depth=10, S_A=1.5773030920251574, chi=-1
depth=11, S_A=1.6026905055387612, chi=-1
depth=12, S_A=1.580084915443326, chi=-1
depth=13, S_A=1.6500492380562326, chi=-1
depth=14, S_A=1.5765538660332887, chi=-1
depth=15, S_A=1.6972989127203026, chi=-1
depth=16, S_A=1.63818463201968, chi=-1
depth=17, S_A=1.6391461786590107, chi=-1
depth=18, S_A=1.628542799323949, chi=-1
depth=19, S_A=1.5915774057969625, chi=-1
depth=20, S_A=1.5833405577006099, chi=-1
depth=21, S_A=1.5812294015592017, chi=-1
depth=22, S_A=1.551210915515846, chi=-1
depth=23, S_A=1.5956531028286776, chi=-1
depth=24, S_A=1.6275184725599674, chi=-1
depth=25, S_A=1.598304149223354, chi=-1
depth=26, S_A=1.6277653043984013, chi=-1
depth=27, S_A=1.5896779689413898, chi=-1
depth=28, S_A=1.5286214259854634, chi=-1
depth=29, S_A=1.5074138961045713, chi=-1
depth=30, S_A=1.6555037666339056, chi=-1
