depth=1, S_A=6.659721409000542e-14, chi=-1
depth=2, S_A=0.13796442817867133, chi=-1
depth=3, S_A=0.37630535623768213, chi=-1
depth=4, S_A=0.35904956710525326, chi=-1
depth=5, S_A=0.43673233779487214, chi=-1
depth=6, S_A=0.5664547930106748, chi=-1
depth=7, S_A=0.6250575592978681, chi=-1
depth=8, S_A=0.7074014660900434, chi=-1
depth=9, S_A=0.8121370337351506, chi=-1
depth=10, S_A=0.9160336481005007, chi=-1
depth=11, S_A=0.9888101220591204, chi=-1
depth=12, S_A=1.1032974143351562, chi=-1
depth=13, S_A=1.2136313748004004, chi=-1
depth=14, S_A=1.277808291435662, chi=-1
depth=15, S_A=1.3637611581320743, chi=-1
