depth=1, S_A=3.2034265038149176e-16, chi=-1
depth=2, S_A=0.9383898410246954, chi=-1
depth=3, S_A=1.8006333220281765, chi=-1
depth=4, S_A=2.599872486128027, chi=-1
depth=5, S_A=3.3597819616518008, chi=-1
depth=6, S_A=4.089435794775266, chi=-1
depth=7, S_A=4.118206654054318, chi=-1
depth=8, S_A=4.119812836580543, chi=-1
depth=9, S_A=4.1368519373722075, chi=-1
depth=10, S_A=4.182625378584532, chi=-1
depth=11, S_A=4.236165789473414, chi=-1
depth=12, S_A=4.219829035887265, chi=-1
depth=13, S_A=4.247092713151573, chi=-1
depth=14, S_A=4.302956640247926, chi=-1
depth=15, S_A=4.327004683617604, chi=-1
depth=16, S_A=4.284021963767768, chi=-1
depth=17, S_A=4.315737429868928, chi=-1
depth=18, S_A=4.271516598519716, chi=-1
depth=19, S_A=4.303154498150891, chi=-1
depth=20, S_A=4.296704617492232, chi=-1
depth=21, S_A=4.2993402160548975, chi=-1
depth=22, S_A=4.2978793791236996, chi=-1
depth=23, S_A=4.249457248392311, chi=-1
depth=24, S_A=4.286799115371893, chi=-1
depth=25, S_A=4.351166531059487, chi=-1
depth=26, S_A=4.32253540836227, chi=-1
depth=27, S_A=4.327435340904843, chi=-1
depth=28, S_A=4.290871338980866, chi=-1
depth=29, S_A=4.244293930338319, chi=-1
depth=30, S_A=4.277073092552829, chi=-1
