depth=1, S_A=-3.844111804577906e-15, chi=-1
depth=2, S_A=0.045200034002691805, chi=-1
depth=3, S_A=0.09568874942963722, chi=-1
depth=4, S_A=0.041414810038738134, chi=-1
depth=5, S_A=0.03321701253332726, chi=-1
depth=6, S_A=0.026226750715301107, chi=-1
depth=7, S_A=0.12262684367730008, chi=-1
depth=8, S_A=0.12842824692756244, chi=-1
depth=9, S_A=0.09614334570891783, chi=-1
depth=10, S_A=0.08927408891932902, chi=-1
depth=11, S_A=0.13250060714049192, chi=-1
depth=12, S_A=0.2198093390958358, chi=-1
depth=13, S_A=0.18307265388917845, chi=-1
depth=14, S_A=0.18580834318000905, chi=-1
depth=15, S_A=0.17194663105160143, chi=-1
