depth=1, S_A=1.554291261996071e-13, chi=-1
depth=2, S_A=0.13796442817867038, chi=-1
depth=3, S_A=0.42760441098184243, chi=-1
depth=4, S_A=0.4794891190639884, chi=-1
depth=5, S_A=0.66107318268916, chi=-1
depth=6, S_A=0.8693836409842516, chi=-1
depth=7, S_A=1.0719903319616606, chi=-1
depth=8, S_A=1.263735379902915, chi=-1
depth=9, S_A=1.4131425939060076, chi=-1
depth=10, S_A=1.6050309173163935, chi=-1
depth=11, S_A=1.7889093127809281, chi=-1
depth=12, S_A=1.9970641816857149, chi=-1
depth=13, S_A=2.175627714727268, chi=-1
depth=14, S_A=2.3544799148024054, chi=-1
depth=15, S_A=2.534754207389616, chi=-1
