depth=1, S_A=8.008566259537273e-15, chi=-1
depth=2, S_A=0.4640379399142779, chi=-1
depth=3, S_A=0.8161767298389556, chi=-1
depth=4, S_A=1.1806580392537858, chi=-1
depth=5, S_A=1.4498307586890808, chi=-1
depth=6, S_A=1.6740610183519555, chi=-1
depth=7, S_A=1.84860085667764, chi=-1
depth=8, S_A=2.0534094006358723, chi=-1
depth=9, S_A=2.19485237193985, chi=-1
depth=10, S_A=2.240588954435162, chi=-1
depth=11, S_A=2.4185708775312866, chi=-1
depth=12, S_A=2.4566016532991486, chi=-1
depth=13, S_A=2.4459913107511655, chi=-1
depth=14, S_A=2.453843922491034, chi=-1
depth=15, S_A=2.408052887062323, chi=-1
