depth=1, S_A=-6.727195658011343e-15, chi=-1
depth=2, S_A=0.5288643610650121, chi=-1
depth=3, S_A=1.0088220612104433, chi=-1
depth=4, S_A=1.602462447934039, chi=-1
depth=5, S_A=2.1380571246813096, chi=-1
depth=6, S_A=2.6689519474840036, chi=-1
depth=7, S_A=2.988092653738792, chi=-1
depth=8, S_A=2.8711565626537894, chi=-1
depth=9, S_A=2.442809044059818, chi=-1
depth=10, S_A=2.0234366266130164, chi=-1
depth=11, S_A=1.4748404584346144, chi=-1
depth=12, S_A=1.2153072225178851, chi=-1
depth=13, S_A=1.2345481464962602, chi=-1
depth=14, S_A=1.6288338176346473, chi=-1
depth=15, S_A=2.009524269667802, chi=-1
