depth=1, S_A=2.883083853433423e-15, chi=-1
depth=2, S_A=1.0000000000000013, chi=-1
depth=3, S_A=1.9999999999999973, chi=-1
depth=4, S_A=2.999999999999991, chi=-1
depth=5, S_A=3.9999999999999822, chi=-1
depth=6, S_A=3.556364453514952, chi=-1
depth=7, S_A=3.529979396806271, chi=-1
depth=8, S_A=3.374292826392937, chi=-1
depth=9, S_A=3.293157832034557, chi=-1
depth=10, S_A=3.2600020239927407, chi=-1
depth=11, S_A=3.3562510842124613, chi=-1
depth=12, S_A=3.2715557416305203, chi=-1
depth=13, S_A=3.2576124382060674, chi=-1
depth=14, S_A=3.336273013891564, chi=-1
depth=15, S_A=3.381744346618645, chi=-1
