depth=1, S_A=-2.883083853433429e-15, chi=-1
depth=2, S_A=0.04520003400269475, chi=-1
depth=3, S_A=0.09568874942964031, chi=-1
depth=4, S_A=0.04141481003874191, chi=-1
depth=5, S_A=0.03312784659235379, chi=-1
depth=6, S_A=0.02610270813135167, chi=-1
depth=7, S_A=0.12188319945184825, chi=-1
depth=8, S_A=0.1274960466157821, chi=-1
depth=9, S_A=0.09473637114290127, chi=-1
depth=10, S_A=0.08814049568072038, chi=-1
depth=11, S_A=0.12968668210527454, chi=-1
depth=12, S_A=0.2159885869656181, chi=-1
depth=13, S_A=0.17750742446513385, chi=-1
depth=14, S_A=0.17978324404881582, chi=-1
depth=15, S_A=0.16489576493668234, chi=-1
