depth=1, S_A=2.2423985526704407e-15, chi=-1
depth=2, S_A=0.46403793991426956, chi=-1
depth=3, S_A=0.8793817418485104, chi=-1
depth=4, S_A=1.3545299046991501, chi=-1
depth=5, S_A=1.754502143408716, chi=-1
depth=6, S_A=2.1544536252994435, chi=-1
depth=7, S_A=2.6158868509006226, chi=-1
depth=8, S_A=2.9259530509559974, chi=-1
depth=9, S_A=2.7365945112953964, chi=-1
depth=10, S_A=2.597818999717844, chi=-1
depth=11, S_A=2.470273585164464, chi=-1
depth=12, S_A=2.6085027910567344, chi=-1
depth=13, S_A=2.5641973822648776, chi=-1
depth=14, S_A=2.39336822814976, chi=-1
depth=15, S_A=2.372740097991624, chi=-1
depth=16, S_A=2.343893564629152, chi=-1
depth=17, S_A=2.2843473890397608, chi=-1
depth=18, S_A=2.3699819734222247, chi=-1
depth=19, S_A=2.2862847244708107, chi=-1
depth=20, S_A=2.416572672973932, chi=-1
depth=21, S_A=2.360576963457172, chi=-1
depth=22, S_A=2.3950781198302997, chi=-1
depth=23, S_A=2.4621360957509713, chi=-1
depth=24, S_A=2.4995683908576667, chi=-1
depth=25, S_A=2.5523886959253916, chi=-1
depth=26, S_A=2.427933204960353, chi=-1
depth=27, S_A=2.5054474741124855, chi=-1
depth=28, S_A=2.4210451325133726, chi=-1
depth=29, S_A=2.41319092590894, chi=-1
depth=30, S_A=2.3933650438412997, chi=-1
