depth=1, S_A=5.44582505648535e-15, chi=-1
depth=2, S_A=0.9999999999999998, chi=-1
depth=3, S_A=2.0, chi=-1
depth=4, S_A=3.000000000000001, chi=-1
depth=5, S_A=4.0, chi=-1
depth=6, S_A=5.000000000000003, chi=-1
depth=7, S_A=4.408136189084747, chi=-1
depth=8, S_A=4.422226001016311, chi=-1
depth=9, S_A=4.289736497220307, chi=-1
depth=10, S_A=4.325112642613938, chi=-1
depth=11, S_A=4.3030922071167925, chi=-1
depth=12, S_A=4.304038331079475, chi=-1
depth=13, S_A=4.290397018344498, chi=-1
depth=14, S_A=4.280529458249416, chi=-1
depth=15, S_A=4.332161820911449, chi=-1
depth=16, S_A=4.272727766801124, chi=-1
depth=17, S_A=4.285081075607505, chi=-1
depth=18, S_A=4.290490460293144, chi=-1
depth=19, S_A=4.2487837116481995, chi=-1
depth=20, S_A=4.293524349740979, chi=-1
depth=21, S_A=4.322688809229156, chi=-1
depth=22, S_A=4.302083114638796, chi=-1
depth=23, S_A=4.2628418670696515, chi=-1
depth=24, S_A=4.289263962532577, chi=-1
depth=25, S_A=4.271404406546868, chi=-1
depth=26, S_A=4.283239623851491, chi=-1
depth=27, S_A=4.2747557890136365, chi=-1
depth=28, S_A=4.2799847135527775, chi=-1
depth=29, S_A=4.254310036009501, chi=-1
depth=30, S_A=4.299389184182799, chi=-1
