depth=1, S_A=1.1589499423299616e-13, chi=-1
depth=2, S_A=0.46403793991428033, chi=-1
depth=3, S_A=0.9380287255286617, chi=-1
depth=4, S_A=1.4989651465086502, chi=-1
depth=5, S_A=1.9845277279541735, chi=-1
depth=6, S_A=2.507007865774409, chi=-1
depth=7, S_A=3.03381596130634, chi=-1
depth=8, S_A=3.5347509084070685, chi=-1
depth=9, S_A=4.081312513523965, chi=-1
depth=10, S_A=4.652076646369306, chi=-1
depth=11, S_A=4.69642537882046, chi=-1
depth=12, S_A=4.299324595255716, chi=-1
depth=13, S_A=3.9449131779525297, chi=-1
depth=14, S_A=3.4675222716433214, chi=-1
depth=15, S_A=3.032633441514948, chi=-1
depth=16, S_A=2.5283593363344226, chi=-1
depth=17, S_A=2.0984143861244076, chi=-1
depth=18, S_A=1.8596909013506258, chi=-1
depth=19, S_A=1.7997375400762932, chi=-1
depth=20, S_A=2.040468138195897, chi=-1
depth=21, S_A=2.4032679935682117, chi=-1
depth=22, S_A=2.646526038630955, chi=-1
depth=23, S_A=3.1483314704831176, chi=-1
depth=24, S_A=3.426825265133314, chi=-1
depth=25, S_A=3.950517504496936, chi=-1
depth=26, S_A=4.182305733578424, chi=-1
depth=27, S_A=4.1865618988978, chi=-1
depth=28, S_A=4.002071241629852, chi=-1
depth=29, S_A=3.732714344152623, chi=-1
depth=30, S_A=3.458243531096293, chi=-1
depth=31, S_A=3.030546189583682, chi=-1
depth=32, S_A=2.7132324012802247, chi=-1
depth=33, S_A=2.197502068094361, chi=-1
depth=34, S_A=1.879183351979636, chi=-1
depth=35, S_A=1.5588879389162569, chi=-1
depth=36, S_A=1.501330278565685, chi=-1
depth=37, S_A=1.5500049849142645, chi=-1
depth=38, S_A=1.7751282512612712, chi=-1
depth=39, S_A=2.0463150360203697, chi=-1
depth=40, S_A=2.2210794109361753, chi=-1
depth=41, S_A=2.6412778054315127, chi=-1
depth=42, S_A=2.9310516722360487, chi=-1
depth=43, S_A=3.3426368018016652, chi=-1
depth=44, S_A=3.743500786873164, chi=-1
depth=45, S_A=4.107838759010464, chi=-1
depth=46, S_A=3.967930699002107, chi=-1
depth=47, S_A=3.8449319700570195, chi=-1
depth=48, S_A=3.4959508452055754, chi=-1
depth=49, S_A=3.3773135000911623, chi=-1
depth=50, S_A=2.9621676105239754, chi=-1
