depth=1, S_A=4.805139755722375e-16, chi=-1
depth=2, S_A=0.6018110269580585, chi=-1
depth=3, S_A=0.9215962506683988, chi=-1
depth=4, S_A=1.1349479907556972, chi=-1
depth=5, S_A=1.2483799660102703, chi=-1
depth=6, S_A=1.364986129993719, chi=-1
depth=7, S_A=1.548830970954798, chi=-1
depth=8, S_A=1.6257545859133185, chi=-1
depth=9, S_A=1.6843205319268673, chi=-1
depth=10, S_A=1.7824688869583176, chi=-1
depth=11, S_A=1.8823757112500779, chi=-1
depth=12, S_A=1.9715217793907112, chi=-1
depth=13, S_A=2.01117982854714, chi=-1
depth=14, S_A=2.0772617511268647, chi=-1
depth=15, S_A=2.19043646285274, chi=-1
depth=16, S_A=2.283910508722215, chi=-1
depth=17, S_A=2.2840203314737506, chi=-1
depth=18, S_A=2.279352360542075, chi=-1
depth=19, S_A=2.3336502981323797, chi=-1
depth=20, S_A=2.40366953957387, chi=-1
depth=21, S_A=2.3315342697657684, chi=-1
depth=22, S_A=2.345762302496217, chi=-1
depth=23, S_A=2.5088817713206373, chi=-1
depth=24, S_A=2.5074499292659325, chi=-1
depth=25, S_A=2.589128143868375, chi=-1
depth=26, S_A=2.685548550052749, chi=-1
depth=27, S_A=2.669177273333721, chi=-1
depth=28, S_A=2.828696076850476, chi=-1
depth=29, S_A=2.8408297696818168, chi=-1
depth=30, S_A=2.8374510193955444, chi=-1
