depth=1, S_A=-8.649251560300304e-15, chi=-1
depth=2, S_A=0.5288643610650117, chi=-1
depth=3, S_A=1.008822061210443, chi=-1
depth=4, S_A=1.6024624479340395, chi=-1
depth=5, S_A=2.1380571246813123, chi=-1
depth=6, S_A=2.668951947484004, chi=-1
depth=7, S_A=3.2359924185612354, chi=-1
depth=8, S_A=3.7773396635697374, chi=-1
depth=9, S_A=4.216168384215507, chi=-1
depth=10, S_A=4.281881947420095, chi=-1
depth=11, S_A=4.0278997041992115, chi=-1
depth=12, S_A=3.564780596086849, chi=-1
depth=13, S_A=3.1479923514160273, chi=-1
depth=14, S_A=2.6306991639305153, chi=-1
depth=15, S_A=2.121924727749244, chi=-1
